strain_full,accession,species_full,species_short,strain_id
Aeromonas salmonicida OY59,JAOPLB000000000,Aeromonas salmonicida,salmonicida,OY59
Aeromonas salmonicida OY56,JAOPLC000000000,Aeromonas salmonicida,salmonicida,OY56
Aeromonas salmonicida SL21,JAOPLD000000000,Aeromonas salmonicida,salmonicida,SL21
Aeromonas salmonicida SL19,JAOPLE000000000,Aeromonas salmonicida,salmonicida,SL19
Aeromonas rivipollensis SC42,JAOPLF000000000,Aeromonas rivipollensis,rivipollensis,SC42
Aeromonas media OY52,JAOPLG000000000,Aeromonas media,media,OY52
Aeromonas rivipollensis OY1,JAOPLH000000000,Aeromonas rivipollensis,rivipollensis,OY1
Aeromonas rivipollensis SU15,JAOPLI000000000,Aeromonas rivipollensis,rivipollensis,SU15
Aeromonas rivipollensis SU9,JAOPLJ000000000,Aeromonas rivipollensis,rivipollensis,SU9
Aeromonas rivipollensis SU3,JAOPLK000000000,Aeromonas rivipollensis,rivipollensis,SU3
Aeromonas bestiarum SU58-3,JAOPLL000000000,Aeromonas bestiarum,bestiarum,SU58-3
Aeromonas bestiarum SU6-2,JAOPLM000000000,Aeromonas bestiarum,bestiarum,SU6-2
Aeromonas caviae SU4-2,JAOPLN000000000,Aeromonas caviae,caviae,SU4-2
Aeromonas salmonicida SU2,JAOPLO000000000,Aeromonas salmonicida,salmonicida,SU2
Aeromonas rivipollensis A539,JAOPLP000000000,Aeromonas rivipollensis,rivipollensis,A539
Aeromonas hydrophila A537,JAOPLQ000000000,Aeromonas hydrophila,hydrophila,A537
Aeromonas dhakensis A536,JAOPLR000000000,Aeromonas dhakensis,dhakensis,A536
Aeromonas dhakensis A533,JAOPLS000000000,Aeromonas dhakensis,dhakensis,A533
Aeromonas salmonicida LP441,JAOPLT000000000,Aeromonas salmonicida,salmonicida,LP441
Aeromonas piscicola LP308,JAOPLU000000000,Aeromonas piscicola,piscicola,LP308
Aeromonas bestiarum SL22,JAOPLV000000000,Aeromonas bestiarum,bestiarum,SL22
Aeromonas salmonicida SC45,JAOPLW000000000,Aeromonas salmonicida,salmonicida,SC45
