Strain ID,Species,Isolation source,NCBI accession
SL22,A. bestiarum,Salmon loin,JAOPLV000000000
SU58-3,A. bestiarum,Retail sushi,JAOPLL000000000
SU6,A. bestiarum,Retail sushi,—
SU4,A. caviae,Retail sushi,—
A533,A. dhakensis,Retail sushi,JAOPLS000000000
A536,A. dhakensis,Retail sushi,JAOPLR000000000
A537,A. hydrophila,Retail sushi,JAOPLQ000000000
OY52,A. media,Oyster,JAOPLG000000000
LJP308,A. piscicola,SPE,—
A539,A. rivipollensis,Retail sushi,JAOPLP000000000
OY1,A. rivipollensis,Oyster,JAOPLH000000000
SC42,A. rivipollensis,Scallop,JAOPLF000000000
SU15,A. rivipollensis,Retail sushi,JAOPLI000000000
SU3,A. rivipollensis,Retail sushi,JAOPLK000000000
SU9,A. rivipollensis,Retail sushi,JAOPLJ000000000
LJP441,A. salmonicida,SPE,—
OY56,A. salmonicida,Oyster,JAOPLC000000000
OY59,A. salmonicida,Oyster,JAOPLB000000000
SC45,A. salmonicida,Scallop,JAOPLW000000000
SL19,A. salmonicida,Salmon loin,JAOPLE000000000
SL21,A. salmonicida,Salmon loin,JAOPLD000000000
SU2,A. salmonicida,Retail sushi,JAOPLO000000000
